"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Gender,Female,4.2,"ER Visits/ 100,000 population",3.6,4.8,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Gender,Male,11.3,"ER Visits/ 100,000 population",10.3,12.3,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Race/Ethnicity,"Black/African American",12.6,"ER Visits/ 100,000 population",10.7,14.5,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Race/Ethnicity,Hispanic,6.2,"ER Visits/ 100,000 population",5.6,6.8,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","Age-Adjusted ER Rate due to Heat-Related Illness",Race/Ethnicity,White,6.5,"ER Visits/ 100,000 population",5.9,7.1,,,,,No,
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,0-9,2.0,"ER Visits/ 100,000 population",1.1,2.9,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,10-17,8.2,"ER Visits/ 100,000 population",6.2,10.2,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,18-24,10.0,"ER Visits/ 100,000 population",7.6,12.4,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,25-34,10.6,"ER Visits/ 100,000 population",8.7,12.5,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
"Age-Adjusted ER Rate due to Heat-Related Illness","
This indicator shows the rate of emergency visits per 100,000 population due to explicit clinical effects on the body caused by hot weather and excessive heat exposure.
",County,Miami-Dade,7.7,"ER Visits/ 100,000 population",7.1,8.3,,,,,No,2020-2022,"Florida Agency for Health Care Administration","Rates were calculated using Claritas population estimates. Rates based on fewer than 12 emergency room visits or a population of less than 300 are not reported to ensure patient confidentiality.","ER Rate due to Heat-Related Illness by Age",Age,35-44,7.7,"ER Visits/ 100,000 population",6.1,9.3,,,,,No,"Please note that crude age group rates are being compared to the overall age-adjusted value."
