Rank,ZIP Code,Value
1,"33158, FL","189,886"
2,"33149, FL","181,429"
3,"33156, FL","160,859"
4,"33131, FL","157,198"
5,"33031, FL","141,397"
6,"33146, FL","132,404"
7,"33194, FL","130,060"
8,"33122, FL","122,656"
9,"33133, FL","118,810"
10,"33182, FL","117,596"
11,"33187, FL","114,063"
12,"33140, FL","114,025"
13,"33185, FL","113,192"
14,"33157, FL","111,537"
15,"33132, FL","109,057"
16,"33134, FL","108,194"
17,"33143, FL","105,648"
18,"33129, FL","104,578"
19,"33138, FL","103,528"
20,"33176, FL","101,390"
21,"33196, FL","98,058"
22,"33137, FL","96,758"
23,"33173, FL","94,970"
24,"33180, FL","92,037"
25,"33154, FL","91,810"
26,"33190, FL","91,595"
27,"33018, FL","90,734"
28,"33178, FL","89,222"
29,"33186, FL","87,899"
30,"33165, FL","86,800"
31,"33193, FL","86,605"
32,"33175, FL","85,639"
33,"33155, FL","82,564"
34,"33032, FL","80,208"
35,"33189, FL","78,654"
36,"33184, FL","76,167"
37,"33177, FL","75,758"
38,"33035, FL","75,617"
39,"33014, FL","75,460"
40,"33145, FL","74,849"
41,"33183, FL","74,696"
42,"33015, FL","73,359"
43,"33167, FL","72,159"
44,"33130, FL","71,380"
45,"33139, FL","70,844"
46,"33166, FL","69,967"
47,"33141, FL","69,749"
48,"33161, FL","69,088"
49,"33181, FL","67,009"
50,"33179, FL","66,207"
51,"33033, FL","65,907"
52,"33016, FL","65,725"
53,"33162, FL","65,446"
54,"33174, FL","65,154"
55,"33160, FL","64,928"
56,"33170, FL","63,720"
57,"33126, FL","62,112"
58,"33172, FL","61,250"
59,"33055, FL","60,417"
60,"33144, FL","59,179"
61,"33127, FL","58,199"
62,"33056, FL","57,232"
63,"33013, FL","54,194"
64,"33169, FL","54,013"
65,"33168, FL","53,625"
66,"33136, FL","52,821"
67,"33147, FL","49,511"
68,"33030, FL","49,035"
69,"33150, FL","46,488"
70,"33054, FL","45,087"
71,"33142, FL","43,966"
72,"33010, FL","40,742"
73,"33125, FL","35,993"
74,"33012, FL","35,260"
75,"33135, FL","35,015"
76,"33128, FL","29,353"
