Rank,ZIP Code,Value
1,"33157, FL","69,605"
2,"33012, FL","69,408"
3,"33033, FL","69,075"
4,"33015, FL","68,430"
5,"33186, FL","67,597"
6,"33178, FL","65,515"
7,"33032, FL","62,021"
8,"33177, FL","58,097"
9,"33142, FL","56,437"
10,"33018, FL","56,395"
11,"33125, FL","55,449"
12,"33161, FL","54,128"
13,"33196, FL","53,846"
14,"33176, FL","52,190"
15,"33165, FL","50,471"
16,"33175, FL","49,611"
17,"33179, FL","48,275"
18,"33147, FL","47,203"
19,"33126, FL","47,038"
20,"33162, FL","46,578"
21,"33193, FL","46,519"
22,"33016, FL","45,285"
23,"33160, FL","43,225"
24,"33155, FL","43,133"
25,"33169, FL","42,308"
26,"33010, FL","42,132"
27,"33014, FL","40,742"
28,"33172, FL","39,465"
29,"33056, FL","37,318"
30,"33055, FL","37,226"
31,"33134, FL","36,937"
32,"33141, FL","36,016"
33,"33030, FL","35,957"
34,"33174, FL","35,056"
35,"33135, FL","35,053"
36,"33133, FL","34,651"
37,"33139, FL","34,406"
38,"33183, FL","33,811"
39,"33180, FL","32,745"
40,"33156, FL","32,708"
41,"33130, FL","32,363"
42,"33143, FL","32,167"
43,"33173, FL","32,042"
44,"33150, FL","31,936"
45,"33054, FL","31,165"
46,"33145, FL","29,454"
47,"33185, FL","29,124"
48,"33013, FL","29,100"
49,"33138, FL","28,871"
50,"33127, FL","27,585"
51,"33137, FL","27,300"
52,"33166, FL","26,925"
53,"33144, FL","26,288"
54,"33189, FL","24,627"
55,"33131, FL","23,289"
56,"33167, FL","23,209"
57,"33168, FL","22,556"
58,"33181, FL","20,969"
59,"33184, FL","19,618"
60,"33140, FL","19,455"
61,"33146, FL","18,861"
62,"33035, FL","18,756"
63,"33187, FL","18,575"
64,"33132, FL","18,244"
65,"33190, FL","17,280"
66,"33136, FL","16,611"
67,"33170, FL","14,763"
68,"33129, FL","14,717"
69,"33149, FL","14,628"
70,"33154, FL","14,435"
71,"33182, FL","12,685"
72,"33128, FL","9,018"
73,"33031, FL","7,795"
74,"33194, FL","7,789"
75,"33158, FL","6,029"
76,"33122, FL","1,988"
77,"33024, FL","75,579"
78,"33025, FL","74,512"
79,"33311, FL","73,280"
80,"33023, FL","70,914"
81,"33313, FL","64,228"
82,"33027, FL","63,486"
83,"33064, FL","62,000"
84,"33065, FL","59,653"
85,"33063, FL","55,539"
86,"33068, FL","53,552"
87,"33312, FL","53,547"
88,"33319, FL","52,474"
89,"33321, FL","50,414"
90,"33324, FL","50,072"
91,"33021, FL","49,064"
92,"33076, FL","44,263"
93,"33020, FL","44,112"
94,"33029, FL","44,109"
95,"33009, FL","44,021"
96,"33322, FL","40,522"
97,"33071, FL","40,207"
98,"33309, FL","38,074"
99,"33317, FL","37,008"
100,"33060, FL","35,888"
101,"33351, FL","34,582"
102,"33073, FL","32,980"
103,"33326, FL","32,560"
104,"33442, FL","31,146"
105,"33325, FL","30,947"
106,"33334, FL","30,889"
107,"33026, FL","30,400"
108,"33441, FL","30,214"
109,"33314, FL","30,121"
110,"33328, FL","29,379"
111,"33069, FL","28,957"
112,"33028, FL","27,984"
113,"33308, FL","27,261"
114,"33067, FL","25,638"
115,"33062, FL","25,495"
116,"33331, FL","25,107"
117,"33323, FL","23,083"
118,"33327, FL","23,039"
119,"33304, FL","18,566"
120,"33301, FL","17,831"
121,"33004, FL","16,691"
122,"33066, FL","16,673"
123,"33330, FL","14,384"
124,"33315, FL","13,211"
125,"33019, FL","13,168"
126,"33305, FL","12,961"
127,"33316, FL","12,039"
128,"33332, FL","11,603"
129,"33306, FL","2,700"
